Kabupaten;Kecamatan;Desa;Tanggal Pilkades;Status
Kendal;Gemuh;Pucangrejo;19/10/2022;Belum
Kendal;Gemuh;Sojomerto;19/10/2022;Belum
Kudus;Dawe;Ternadi;03/03/2022;Sudah
Kudus;Jati;Loram Kulon;03/03/2022;Sudah
Kudus;Kota Kudus;Kaliputu;03/03/2022;Sudah
Kudus;Kota Kudus;LanggarDalem;03/03/2022;Sudah
Kudus;Mejobo;Hadiwarno;03/03/2022;Sudah
Kudus;Mejobo;Mejobo;03/03/2022;Sudah
Kudus;Undaan;Undaan Lor;03/03/2022;Sudah
Pemalang;Ampelgading;Jatirejo;09/10/2022;Belum
Pemalang;Ampelgading;Ujunggede;09/10/2022;Belum
Pemalang;Belik;Beluk;09/10/2022;Belum
Pemalang;Bodeh;Kelangdepok;09/10/2022;Belum
Pemalang;Petarukan;Pegundan;09/10/2022;Belum
Pemalang;Pulosari;Karangsari;09/10/2022;Belum
Pemalang;Randudongkal;Banjaranyar;09/10/2022;Belum
Pemalang;Taman;Jebed Utara;09/10/2022;Belum
Pemalang;Ulujami;Kertosari;09/10/2022;Belum
Pemalang;Warungpring;Warungpring;09/10/2022;Belum
Pemalang;Watukumpul;Bodas;09/10/2022;Belum
Rembang;Bulu;Mantingan;16/06/2022;Sudah
Rembang;Gunem;Gunem;16/06/2022;Sudah
Rembang;Gunem;Kajar;16/06/2022;Sudah
Rembang;Gunem;Kulutan;16/06/2022;Sudah
Rembang;Kaliori;Babadan;16/06/2022;Sudah
Rembang;Kaliori;Banggi;16/06/2022;Sudah
Rembang;Kaliori;Kuangsan;16/06/2022;Sudah
Rembang;Kaliori;Mojowarno;16/06/2022;Sudah
Rembang;Kaliori;Sambiyan;16/06/2022;Sudah
Rembang;Kragan;Karanganyar;16/06/2022;Sudah
Rembang;Kragan;Narukan;16/06/2022;Sudah
Rembang;Kragan;Pandangan Kulon;16/06/2022;Sudah
Rembang;Kragan;Pandangan Wetan;16/06/2022;Sudah
Rembang;Kragan;Sumbergayam;16/06/2022;Sudah
Rembang;Kragan;Tanjungsari;16/06/2022;Sudah
Rembang;Kragan;Terjan;16/06/2022;Sudah
Rembang;Lasem;Sendangcoyo;16/06/2022;Sudah
Rembang;Lasem;Gowak;16/06/2022;Sudah
Rembang;Pamotan;Bangunrejo;16/06/2022;Sudah
Rembang;Pamotan;Mlagen;16/06/2022;Sudah
Rembang;Pamotan;Sidorejo;16/06/2022;Sudah
Rembang;Pamotan;Sumbangrejo;16/06/2022;Sudah
Rembang;Pamotan;Tulung;16/06/2022;Sudah
Rembang;Pancur;Karaskepoh;16/06/2022;Sudah
Rembang;Pancur;Ngulangan;16/06/2022;Sudah
Rembang;Rembang;Gedangan;16/06/2022;Sudah
Rembang;Rembang;Tritunggal;16/06/2022;Sudah
Rembang;Rembang;Waru;16/06/2022;Sudah
Rembang;Sale;Bancang;16/06/2022;Sudah
Rembang;Sedan;Dadapan;16/06/2022;Sudah
Rembang;Sale;Jinanten;16/06/2022;Sudah
Rembang;Sale;Mrayun;16/06/2022;Sudah
Rembang;Sedan;Pacing;16/06/2022;Sudah
Rembang;Sedan;Sidomulyo;16/06/2022;Sudah
Rembang;Sedan;Sidorejo;16/06/2022;Sudah
Rembang;Sarang;Babaktulung;16/06/2022;Sudah
Rembang;Sarang;Dadapmulyo;16/06/2022;Sudah
Rembang;Sarang;Gilis;16/06/2022;Sudah
Rembang;Sluke;Sluke;16/06/2022;Sudah
Rembang;Sulang;Pedak;16/06/2022;Sudah
